STATION,lat,lon,wiki
181ST STREET-FT WASH AVE,40.8517,-73.938,https://en.wikipedia.org/wiki/181st_Street_(IND_Eighth_Avenue_Line)
8TH AVENUE-14TH STREET,40.739779,-74.002533,https://en.wikipedia.org/wiki/14th_Street/Eighth_Avenue_(New_York_City_Subway)
33RD STREET-PARK AVENUE,40.74639,-73.98194,https://en.wikipedia.org/wiki/33rd_Street_(IRT_Lexington_Avenue_Line)
68TH STREET-HUNTER COLLEGE,40.767834,-73.964124,https://en.wikipedia.org/wiki/68th_Street%E2%80%93Hunter_College_(IRT_Lexington_Avenue_Line)
77TH STREET-LEXINGTON AVE,40.773587,-73.959875,https://en.wikipedia.org/wiki/77th_Street_(IRT_Lexington_Avenue_Line)
86TH STREET-LEXINGTON AVE,40.779469,-73.955626,https://en.wikipedia.org/wiki/86th_Street_(IRT_Lexington_Avenue_Line)
103RD STREET-LEXINGTON AVE,40.79029,-73.947687,https://en.wikipedia.org/wiki/103rd_Street_(IRT_Lexington_Avenue_Line)
110TH STREET-LEXINGTON AVE,40.794773,-73.944426,https://en.wikipedia.org/wiki/110th_Street_(IRT_Lexington_Avenue_Line)
116TH STREET-LEXINGTON AVE,40.798607,-73.942022,https://en.wikipedia.org/wiki/116th_Street_(IRT_Lexington_Avenue_Line)
BEDFORD PARK BLVD-JEROME AV,40.873545,-73.889837,https://en.wikipedia.org/wiki/Bedford_Park_Boulevard%E2%80%93Lehman_College_(IRT_Jerome_Avenue_Line)
CORTELYOU RD-EAST 16TH ST,40.641597,-73.9643,https://en.wikipedia.org/wiki/Cortelyou_Road_(BMT_Brighton_Line)
DYCKMAN STREET-BROADWAY,40.865487,-73.927271,https://en.wikipedia.org/wiki/Dyckman_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
86TH ST-CENTRAL PARK WEST,40.785286,-73.969316,https://en.wikipedia.org/wiki/86th_Street_(IND_Eighth_Avenue_Line)
81ST STREET-MUSEUM,40.781971,-73.971763,https://en.wikipedia.org/wiki/81st_Street%E2%80%93Museum_of_Natural_History_(IND_Eighth_Avenue_Line)
50TH STREET-8TH AVENUE,40.762276,-73.986139,https://en.wikipedia.org/wiki/50th_Street_(IND_lines)
CHRISTOPHER ST-SHERIDAN SQ,40.733,-74.003,https://en.wikipedia.org/wiki/Christopher_Street%E2%80%93Sheridan_Square_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
23RD STREET-7TH AVENUE,40.744,-73.996,https://en.wikipedia.org/wiki/23rd_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
103RD STREET-BROADWAY,40.799419,-73.968158,https://en.wikipedia.org/wiki/103rd_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
110TH STREET-BROADWAY,40.804,-73.967,https://en.wikipedia.org/wiki/Cathedral_Parkway%E2%80%93110th_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
157TH STREET-BROADWAY,40.834,-73.944,https://en.wikipedia.org/wiki/157th_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
BLEECKER ST-LAFAYETTE ST,40.72583,-73.99472,https://en.wikipedia.org/wiki/Broadway%E2%80%93Lafayette_Street/Bleecker_Street_(New_York_City_Subway)
161ST STREET-YANKEE STADIUM,40.827937,-73.925886,https://en.wikipedia.org/wiki/161st_Street%E2%80%93Yankee_Stadium_(New_York_City_Subway)
PROSPECT PARK-EMPIRE BLVD,40.661507,-73.962461,https://en.wikipedia.org/wiki/Prospect_Park_(BMT_lines)
36TH STREET-4TH AVENUE,40.65445,-74.00455,https://en.wikipedia.org/wiki/36th_Street_(BMT_Fourth_Avenue_Line)
NOSTRAND AVE-FULTON ST,40.680345,-73.949575,https://en.wikipedia.org/wiki/Nostrand_Avenue_(IND_Fulton_Street_Line)
KINGSTON AVE-THROOP AVE,40.679857,-73.940606,https://en.wikipedia.org/wiki/Kingston%E2%80%93Throop_Avenues_(IND_Fulton_Street_Line)
EUCLID AVE-PITKIN AVE,40.6754,-73.8719,https://en.wikipedia.org/wiki/Euclid_Avenue_(IND_Fulton_Street_Line)
WOODHAVEN BLVD-QUEENS BLVD,40.73347,-73.870397,https://en.wikipedia.org/wiki/Woodhaven_Boulevard_(IND_Queens_Boulevard_Line)
63RD DRIVE-REGO PARK,40.73,-73.862,https://en.wikipedia.org/wiki/63rd_Drive%E2%80%93Rego_Park_(IND_Queens_Boulevard_Line)
23RD STREET-6TH AVENUE,40.742933,-73.992877,https://en.wikipedia.org/wiki/23rd_Street_(IND_Sixth_Avenue_Line)
CHURCH AVE-MCDONALD AVE,40.643684,-73.979613,https://en.wikipedia.org/wiki/Church_Avenue_(IND_Culver_Line)
149TH ST-GRAND CONCOURSE,40.8181,-73.9275,https://en.wikipedia.org/wiki/149th_Street%E2%80%93Grand_Concourse_(New_York_City_Subway)
125TH STREET-LENOX AVENUE,40.807,-73.945,https://en.wikipedia.org/wiki/125th_Street_(IRT_Lenox_Avenue_Line)
135TH STREET-LENOX AVENUE,40.814,-73.941,https://en.wikipedia.org/wiki/135th_Street_(IRT_Lenox_Avenue_Line)
103RD ST-ROOSEVELT AVE,40.749825,-73.8627333,https://en.wikipedia.org/wiki/103rd_Street%E2%80%93Corona_Plaza_(IRT_Flushing_Line)
STERLING ST-NOSTRAND AVE,40.663061,-73.950863,https://en.wikipedia.org/wiki/Sterling_Street_(IRT_Nostrand_Avenue_Line)
BEVERLY RD-NOSTRAND AVE,40.645122,-73.94906,https://en.wikipedia.org/wiki/Beverly_Road_(IRT_Nostrand_Avenue_Line)
KINGS HIGHWAY-EAST 16TH ST,40.609229,-73.95884,https://en.wikipedia.org/wiki/Kings_Highway_(BMT_Brighton_Line)
59TH STREET-4TH AVENUE,40.6410778,-74.0181806,https://en.wikipedia.org/wiki/59th_Street_(BMT_Fourth_Avenue_Line)
BAY RIDGE AVE-4TH AVENUE,40.6336778,-74.0238528,https://en.wikipedia.org/wiki/Bay_Ridge_Avenue_(BMT_Fourth_Avenue_Line)
77TH STREET-4TH AVENUE,40.6284972,-74.0259361,https://en.wikipedia.org/wiki/77th_Street_(BMT_Fourth_Avenue_Line)
86TH STREET-4TH AVENUE,40.622694,-74.0283833,https://en.wikipedia.org/wiki/86th_Street_(BMT_Fourth_Avenue_Line)
BAY RIDGE - 95TH STREET,40.616167,-74.031222,https://en.wikipedia.org/wiki/Bay_Ridge%E2%80%9395th_Street_(BMT_Fourth_Avenue_Line)
HOYT ST-SCHERMERHORN ST,40.6890222,-73.9861417,https://en.wikipedia.org/wiki/Hoyt%E2%80%93Schermerhorn_Streets_(New_York_City_Subway)
ELMHURST AVE-BROADWAY,40.741795,-73.88104,https://en.wikipedia.org/wiki/Elmhurst_Avenue_(IND_Queens_Boulevard_Line)
67TH AVENUE-QUEENS BLVD,40.726966,-73.853703,https://en.wikipedia.org/wiki/67th_Avenue_(IND_Queens_Boulevard_Line)
CARROLL ST-PRESIDENT ST,40.6802,-73.9948,https://en.wikipedia.org/wiki/Carroll_Street_(IND_Culver_Line)
167TH STREET-RIVER AVENUE,40.835665,-73.921337,https://en.wikipedia.org/wiki/167th_Street_(IRT_Jerome_Avenue_Line)
177TH STREET-PARKCHESTER,40.83333,-73.860972,https://en.wikipedia.org/wiki/Parkchester_(IRT_Pelham_Line)
46TH ST-BLISS ST,40.7431333,-73.9184028,https://en.wikipedia.org/wiki/46th_Street%E2%80%93Bliss_Street_(IRT_Flushing_Line)
CLARK STREET-HENRY STREET,40.6974,-73.9931,https://en.wikipedia.org/wiki/Clark_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
HOYT STREET-HOYT STREET,40.690046,-73.985431,https://en.wikipedia.org/wiki/Hoyt_Street_(IRT_Eastern_Parkway_Line)
GUN HILL ROAD-SEYMOUR,40.87017,-73.845806,https://en.wikipedia.org/wiki/Gun_Hill_Road_(IRT_Dyre_Avenue_Line)
